1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QC_1-00005,QC_2-00003,QC_3-00004,B_1,B_2,B_3,features
2.1857,2.2557,2.3804,2.3022,1.912,2.0797,1.9923,3.3328,2.5152,3.2814,1.5006,1.9124,2.2323,1.8938,3.0398,1.7845,2.2854,2.0004,2.0796,1.8939,2.1764,47.1935,50.0834,46.0209,0.5194,0.4597,0.4721,FFA.18.2.
0.7712,0.8203,0.8466,0.8487,0.6597,0.7177,0.6415,0.9815,0.9424,1.0698,0.534,0.5767,0.8509,0.8764,1.0065,0.7914,0.9211,0.8785,0.9279,0.8806,0.9496,7.5562,8.35,7.7612,0.3177,0.2923,0.3049,FFA.18.3.
0.2778,0.2389,0.2827,0.2935,0.263,0.254,0.1907,0.2771,0.2568,0.2487,0.1727,0.1864,0.2262,0.1611,0.2949,0.2197,0.2356,0.2418,0.2348,0.2222,0.2069,1.26,1.3027,1.1287,0.1265,0.1099,0.1071,FFA.18.4.
1.4057,1.3107,1.3014,1.3699,1.2387,1.4291,1.2233,1.4354,1.1346,1.4387,1.0662,1.11,1.0836,0.8714,1.3477,1.3551,1.468,1.5351,1.4774,1.199,1.3199,3.2566,3.7335,3.5766,0.5538,0.5708,0.5038,FFA.20.0.
1.3667,1.1189,1.3753,1.1364,1.2538,1.2246,1.0953,1.2043,1.3069,1.3129,0.759,0.9489,1.2956,0.6053,0.8759,0.8448,1.6468,1.0296,0.7762,0.6616,0.7709,3.8743,3.8447,3.8748,0.3661,0.5011,0.3685,FFA.20.1.
1.0641,0.9799,1.039,0.8527,0.9139,0.8588,0.9741,1.0178,1.2098,1.2256,0.5743,0.7361,1.09,0.626,0.7304,0.6064,0.7319,0.638,0.5731,0.5091,0.5771,2.2834,2.4897,2.4261,0.1593,0.153,0.1426,FFA.20.2.
5.6585,4.964,6.3918,5.7379,5.2279,4.9914,3.987,4.2896,5.8191,4.9672,2.1492,3.0409,4.7779,4.1831,5.3223,3.7705,4.4757,4.6468,3.2948,2.8525,3.5914,11.1612,9.5967,11.1723,0.865,0.7233,0.5226,FFA.20.3.
2.7816,3.177,3.1568,3.043,1.9176,1.6905,1.8698,2.9419,2.8491,3.4146,1.3527,1.8747,2.5296,11.4921,9.5264,8.42,11.0642,8.8578,7.3896,8.3741,8.4015,3.7973,5.0783,3.848,0.4571,0.4381,0.2748,FFA.20.4.
1.1716,1.269,1.2826,1.3222,1.1409,1.1806,1.0403,1.4147,1.3186,1.5884,1.1178,1.0168,1.0469,0.7268,0.9585,0.9176,0.8158,0.989,1.0924,0.9367,1.0854,2.8201,2.6409,2.5832,0.4364,0.4654,0.537,FFA.20.5.
1.5011,0.9042,1.339,1.3514,1.3179,1.3589,0.8864,1.0492,1.0388,1.2129,0.6961,0.7992,0.7039,0.5876,1.502,1.2555,1.2707,1.4841,1.1663,0.8284,1.045,7.6999,9.511,8.6857,0.3869,0.369,0.3521,FFA.22.0.
